	MedCodeId	Observations	Term	anaemia				
0	a293877016	1000	Iron deficiency anemia	anaemia				
1	a293956015	20	Anemia due to protein deficiency	anaemia				
2	a294568012	700	Vitamin B12 deficiency anemia due to dietary causes	anaemia				
3	a351097012	10000	Macrocytic anemia	anaemia				
4	a399195014	3000	Iron deficiency anemia	anaemia				
5	a460377019	600	FH: Anemia	anaemia				
6	a2541821000006111	1	Leukoerythroblastic anemia	anaemia				
7	a2562461000006118	1	Warm autoimmune hemolytic anemia	anaemia				
8	a2938151000006111	1	Anemia of pregnancy	anaemia				
9	a2992581000006115	1	Fanconi anemia	anaemia				
10	a3220211000006112	2	Microcytic hypochromic anemia	anaemia				
11	a3220221000006116	3	Hypochromic microcytic anemia	anaemia				
12	a3255321000006116	2	Normocytic normochromic anemia	anaemia				
13	a3495381000006114	1	Hemolytic anemia	anaemia				
14	a3514431000006111	4	G6PD deficiency anemia	anaemia				
15	a3866951000006118	3	Pernicious anemia	anaemia				
16	a3892431000006116	2	Folate deficiency anemia	anaemia				
17	a3922691000006115	4	IDA - Iron deficiency anemia	anaemia				
18	a4539681000006117	7	H/O: anemia - iron deficient	anaemia				
19	a4539721000006112	2	History of anemia vitamin B12 deficient	anaemia				
20	a4641521000006110	1	Anemia screening	anaemia				
21	a4761161000006111	5	Combined B12 and folate deficiency anemia	anaemia				
22	a4762111000006118	9	Chronic anemia	anaemia				
23	a5063181000006113	1	Macrocytosis - no anemia	anaemia				
24	a5063371000006112	6	Anemia of renal disease	anaemia				
25	a5063391000006113	30	Microcytic anemia	anaemia				
26	a5500771000006119	1	Deficiency anemias	anaemia				
27	a5887431000006113	10	Normocytic anemia	anaemia				
28	a6352651000006111	1	Iron deficiency anemia secondary to inadequate dietary iron intake	anaemia				
29	a6844061000006114	2	Autoimmune hemolytic anemia	anaemia				
30	a6906661000006112	2	Sickle cell anemia with crisis	anaemia				
31	a7615361000006112	1	Anemia in chronic kidney disease	anaemia				
32	a7826141000006117	7	Iron-refractory iron deficiency anemia	anaemia				
33	a7843061000006112	1	Familial hypercholanemia	anaemia				
34	a12761691000006115	200	Iron deficiency anemia	anaemia				
35	a13031341000006117	90	Anemia	anaemia				
36	a13031551000006111	9	Macrocytic anemia	anaemia				
37	a249835010	4000	FH: Sickle cell anaemia	anaemia				
38	a251611012	40000	H/O: anaemia - iron deficient	anaemia				
39	a251614016	3000	History of anaemia vitamin B12 deficient	anaemia				
40	a251615015	2000	H/O: haemolytic anaemia	anaemia				
41	a251617011	20000	H/O: anaemia NOS	anaemia				
42	a255515017	50000	O/E - anaemia	anaemia				
43	a255526011	20000	O/E - anaemia NOS	anaemia				
44	a291252015	200	"Refractory anaemia without sideroblasts, so stated"	anaemia				
45	a292273018	200	"[X]Refractory anaemia, unspecified"	anaemia				
46	a293864013	10000	Iron deficiency anaemia due to dietary causes	anaemia				
47	a293880015	100000	Unspecified iron deficiency anaemia	anaemia				
48	a293884012	20	Chlorotic anaemia	anaemia				
49	a293885013	800	Idiopathic hypochromic anaemia	anaemia				
50	a293888010	300000	Iron deficiency anaemia NOS	anaemia				
51	a293924010	2000	Other vitamin B12 deficiency anaemia NOS	anaemia				
52	a293925011	30	Congenital folate malabsorption anaemia	anaemia				
53	a293946019	3000	Other specified megaloblastic anaemia NEC	anaemia				
