	MedCodeId	Observations	Term	CHD		
0	a2534664018	5000000	Ischaemic heart disease	CHD		
1	a299757012	3000000	Angina pectoris	CHD		
2	a460133017	2000000	Coronary heart disease annual review	CHD		
3	a94884017	1000000	Acute myocardial infarction	CHD		
4	a1780444014	1000000	Coronary heart disease monitoring 1st letter	CHD		
5	a2537480011	1000000	IHD - Ischaemic heart disease	CHD		
6	a1780501013	400000	Acute non-ST segment elevation myocardial infarction	CHD		
7	a219531000000117	300000	MI - acute myocardial infarction	CHD		
8	a1780445010	300000	Coronary heart disease monitoring 2nd letter	CHD		
9	a1488382011	200000	Acute coronary syndrome	CHD		
10	a1780491019	200000	Acute ST segment elevation myocardial infarction	CHD		
11	a2536395017	200000	Coronary artery disease	CHD		
12	a1484833014	100000	Coronary heart disease review	CHD		
13	a299835014	100000	Ischaemic heart disease NOS	CHD		
14	a411904010	100000	Aspirin prophylaxis for ischaemic heart disease	CHD		
15	a495371000000110	100000	Review of patient at risk from coronary heart disease	CHD		
16	a1488440011	100000	Coronary heart disease medication review	CHD		
17	a1780446011	100000	Coronary heart disease monitoring 3rd letter	CHD		
18	a7845011	90000	Unstable angina	CHD		
19	a299714019	90000	Acute myocardial infarction of inferior wall	CHD		
20	a1484939014	80000	Coronary heart disease monitoring administration	CHD		
21	a350348018	70000	Stable angina	CHD		
22	a299721019	60000	Acute myocardial infarction NOS	CHD		
23	a72571000006115	60000	Unstable angina	CHD		
24	a4031011	60000	Old myocardial infarction	CHD		
25	a482941000006119	50000	Angina pectoris NOS	CHD		
26	a1780518012	50000	Coronary heart disease monitoring check done	CHD		
27	a299765010	50000	Angina pectoris NOS	CHD		
28	a350346019	40000	Triple vessel disease of the heart	CHD		
29	a595731000006114	40000	Coronary atherosclerosis	CHD		
30	a406961000000113	30000	Coronary heart disease monitoring telephone invite	CHD		
31	a1780447019	30000	Coronary heart disease monitoring verbal invitation	CHD		
32	a299709018	20000	Anterior myocardial infarction NOS	CHD		
33	a455641000006112	20000	Acute anterolateral myocardial infarction	CHD		
34	a299782012	20000	Single coronary vessel disease	CHD		
35	a299783019	20000	Double coronary vessel disease	CHD		
36	a1780442013	10000	Attends coronary heart disease monitoring	CHD		
37	a457531000006110	10000	Acute inferolateral myocardial infarction	CHD		
38	a37443015	10000	Heart attack	CHD		
39	a299776014	10000	Chronic ischaemic heart disease	CHD		
40	a810821000006112	10000	H/O: myocardial infarct at greater than 60	CHD		
41	a1780517019	10000	Coronary heart disease monitoring default	CHD		
42	a442204010	10000	Angina on effort	CHD		
43	a810811000006116	10000	H/O: myocardial infarct at less than 60	CHD		
44	a299796018	10000	Ischaemic cardiomyopathy	CHD		
45	a116992017	9000	Acute subendocardial infarction	CHD		
46	a7847015	8000	Crescendo angina	CHD		
47	a299745015	8000	Acute coronary insufficiency	CHD		
48	a451132018	8000	[V]Presence of coronary artery bypass graft	CHD		
49	a884151000006119	7000	Myocardial Infarction	CHD		
