	MedCodeId	Observations	Term	COPD				
0	a475431013	5000000	Chronic obstructive pulmonary disease	COPD				
1	a1488424013	3000000	Chronic obstructive pulmonary disease annual review	COPD				
2	a977911000006114	2000000	Number of chronic obstructive pulmonary disease exacerbations in past year	COPD				
3	a189761000000117	1000000	Chronic obstructive pulmonary disease monitoring first letter	COPD				
4	a1484924013	1000000	Chronic obstructive pulmonary disease monitoring	COPD				
5	a301453013	1000000	Acute exacerbation of chronic obstructive airways disease	COPD				
6	a457169013	800000	Moderate chronic obstructive pulmonary disease	COPD				
7	a457168017	700000	Mild chronic obstructive pulmonary disease	COPD				
8	a839001000006111	700000	COPD self-management plan given	COPD				
9	a457171013	500000	Severe chronic obstructive pulmonary disease	COPD				
10	a301545019	400000	Chronic obstructive airway disease	COPD				
11	a2716231000006114	300000	Chronic obstructive lung disease	COPD				
12	a198471000000111	300000	Chronic obstructive pulmonary disease monitoring second letter	COPD				
13	a640491000006111	300000	Pulmonary emphysema	COPD				
14	a555471000006114	200000	COAD - Chronic obstructive airways disease	COPD				
15	a139131000000117	200000	Excepted from COPD quality indicators - patient unsuitable	COPD				
16	a139141000000114	200000	Excepted from COPD quality indicators - informed dissent	COPD				
17	a1573111000000115	200000	Issue of chronic obstructive pulmonary disease rescue pack	COPD				
18	a199481000000116	100000	Chronic obstructive pulmonary disease monitoring third letter	COPD				
19	a553211000006119	100000	"Chron obstruct pulmonary dis wth acute exacerbation, unspec"	COPD				
20	a1488423019	100000	Chronic obstructive pulmonary disease follow-up	COPD				
21	a1811661000006110	100000	Chronic obstructive pulmonary disease self-management plan agreed	COPD				
22	a405121000000111	100000	Education about chronic obstructive pulmonary disease	COPD				
23	a299031000000110	100000	Chronic obstructive pulmonary disease does not disturb sleep	COPD				
24	a966841000006111	100000	Chronic obstructive pulmonary disease clinical management plan	COPD				
25	a2716321000006116	90000	COPD - Chronic obstructive pulmonary disease	COPD				
26	a1811741000006117	90000	Chronic obstructive pulmonary disease self-management plan review	COPD				
27	a105519017	80000	Chronic bronchitis	COPD				
28	a967581000006118	80000	Chronic obstructive pulmonary disease monitoring telephone invitation	COPD				
29	a967531000006119	60000	Chronic obstructive pulmonary disease monitoring administration	COPD				
30	a1683221000000119	60000	Chronic obstructive pulmonary disease 6 monthly review	COPD				
31	a931451000006113	60000	DNA - Did not attend chronic obstructive pulmonary disease clinic	COPD				
32	a967571000006116	50000	Chronic obstructive pulmonary disease monitoring verbal invite	COPD				
33	a516801000000112	50000	Very severe chronic obstructive pulmonary disease	COPD				
34	a424365019	40000	Acute infective exacerbation of chronic obstructive airways disease	COPD				
35	a1704531000006115	40000	Chronic obstructive pulmonary disease patient unsuitable for pulmonary rehabilitation	COPD				
36	a845451000006118	40000	COPD follow-up	COPD				
37	a1813021000006111	40000	Chronic obstructive pulmonary disease rescue pack not indicated	COPD				
38	a1488856013	40000	Chronic obstructive pulmonary disease leaflet given	COPD				
39	a977901000006111	30000	Emergency chronic obstructive pulmonary disease admission since last appointment	COPD				
40	a1683181000000112	30000	Chronic obstructive pulmonary disease 3 monthly review	COPD				
41	a1783891000006115	30000	Optimisation of medication for chronic obstructive pulmonary disease	COPD				
42	a2160051010	30000	Emergency hospital admission for chronic obstructive pulmonary disease	COPD				
43	a405080018	30000	H/O: chr.obstr. airway disease	COPD				
44	a1948051000006112	30000	Asthma-chronic obstructive pulmonary disease overlap syndrome	COPD				
45	a8439171000006119	30000	COPD (chronic obstructive pulmonary disease) monitoring SMS (short message service) text message invitation	COPD				
46	a977891000006112	30000	Chronic obstructive pulmonary disease accident and emergency attendance since last visit	COPD				
47	a1704541000006113	20000	COPD patient unsuitable for pulmonary rehabilitation	COPD				
48	a1784371000006111	20000	Referral to chronic obstructive pulmonary disease community nursing team	COPD				
49	a1222335015	20000	Chronic obstructive pulmonary disease NOS	COPD				
50	a1704521000006118	20000	Chronic obstructive pulmonary disease enhanced services administration	COPD				
51	a285104011	20000	Obstructive chronic bronchitis	COPD				
52	a139011000000112	20000	Exception reporting - COPD quality indicators	COPD				
53	a301459012	10000	Chronic bronchitis NOS	COPD				
54	a8439851000006117	10000	COPD (chronic obstructive pulmonary disease) monitoring SMS (short message service) text message first invitation	COPD				
55	a8214721000006112	10000	Chronic obstructive pulmonary disease monitoring invitation	COPD				
56	a2152091000000112	10000	Has chronic obstructive pulmonary disease care plan	COPD				
57	a301477019	10000	Emphysema NOS	COPD				
58	a183191000006115	10000	Recurrent wheezy bronchitis	COPD				
59	a1484971019	10000	Chronic obstructive pulmonary disease monitoring due	COPD				
60	a1780380013	10000	Chronic obstructive pulmonary disease monitoring by nurse	COPD				
61	a508561017	10000	Simple chronic bronchitis	COPD				
62	a990641000006110	10000	Chronic obst. pulm. dis. NOS	COPD				
63	a885311000006116	10000	Chronic obst. pulm. dis. NOS	COPD				
64	a2219861000000114	9000	Chronic obstructive pulmonary disease rescue pack declined	COPD				
65	a301450011	9000	Chronic asthmatic bronchitis	COPD				
66	a2010061000006113	7000	Acute non-infective exacerbation of chronic obstructive pulmonary disease	COPD				
67	a555461000006119	7000	Chronic obstructive pulmonary disease with acute lower respiratory infection	COPD				
68	a301460019	6000	Chronic bullous emphysema	COPD				
