	MedCodeId	Observations	Term	CVD		
0	a2534664018	5000000	Ischaemic heart disease	CVD		
1	a299757012	3000000	Angina pectoris	CVD		
2	a460133017	2000000	Coronary heart disease annual review	CVD		
3	a94884017	1000000	Acute myocardial infarction	CVD		
4	a1780444014	1000000	Coronary heart disease monitoring 1st letter	CVD		
5	a2537480011	1000000	IHD - Ischaemic heart disease	CVD		
6	a1780501013	400000	Acute non-ST segment elevation myocardial infarction	CVD		
7	a219531000000117	300000	MI - acute myocardial infarction	CVD		
8	a1780445010	300000	Coronary heart disease monitoring 2nd letter	CVD		
9	a1488382011	200000	Acute coronary syndrome	CVD		
10	a1780491019	200000	Acute ST segment elevation myocardial infarction	CVD		
11	a2536395017	200000	Coronary artery disease	CVD		
12	a1484833014	100000	Coronary heart disease review	CVD		
13	a299835014	100000	Ischaemic heart disease NOS	CVD		
14	a411904010	100000	Aspirin prophylaxis for ischaemic heart disease	CVD		
15	a495371000000110	100000	Review of patient at risk from coronary heart disease	CVD		
16	a1488440011	100000	Coronary heart disease medication review	CVD		
17	a1780446011	100000	Coronary heart disease monitoring 3rd letter	CVD		
18	a7845011	90000	Unstable angina	CVD		
19	a299714019	90000	Acute myocardial infarction of inferior wall	CVD		
20	a1484939014	80000	Coronary heart disease monitoring administration	CVD		
21	a350348018	70000	Stable angina	CVD		
22	a299721019	60000	Acute myocardial infarction NOS	CVD		
23	a72571000006115	60000	Unstable angina	CVD		
24	a4031011	60000	Old myocardial infarction	CVD		
25	a482941000006119	50000	Angina pectoris NOS	CVD		
26	a1780518012	50000	Coronary heart disease monitoring check done	CVD		
27	a299765010	50000	Angina pectoris NOS	CVD		
28	a350346019	40000	Triple vessel disease of the heart	CVD		
29	a595731000006114	40000	Coronary atherosclerosis	CVD		
30	a406961000000113	30000	Coronary heart disease monitoring telephone invite	CVD		
31	a1780447019	30000	Coronary heart disease monitoring verbal invitation	CVD		
32	a299709018	20000	Anterior myocardial infarction NOS	CVD		
33	a455641000006112	20000	Acute anterolateral myocardial infarction	CVD		
34	a299782012	20000	Single coronary vessel disease	CVD		
35	a299783019	20000	Double coronary vessel disease	CVD		
36	a1780442013	10000	Attends coronary heart disease monitoring	CVD		
37	a457531000006110	10000	Acute inferolateral myocardial infarction	CVD		
38	a37443015	10000	Heart attack	CVD		
39	a299776014	10000	Chronic ischaemic heart disease	CVD		
40	a810821000006112	10000	H/O: myocardial infarct at greater than 60	CVD		
41	a1780517019	10000	Coronary heart disease monitoring default	CVD		
42	a442204010	10000	Angina on effort	CVD		
43	a810811000006116	10000	H/O: myocardial infarct at less than 60	CVD		
44	a299796018	10000	Ischaemic cardiomyopathy	CVD		
45	a116992017	9000	Acute subendocardial infarction	CVD		
46	a7847015	8000	Crescendo angina	CVD		
47	a299745015	8000	Acute coronary insufficiency	CVD		
48	a451132018	8000	[V]Presence of coronary artery bypass graft	CVD		
49	a884151000006119	7000	Myocardial Infarction	CVD		
50	a338974012	6000	Ischaemic chest pain	CVD		
51	a299707016	6000	Acute anterior myocardial infarction	CVD		
52	a494261017	6000	Worsening angina	CVD		
53	a2160096015	6000	Coronary artery bypass graft occlusion	CVD		
54	a7844010	5000	Preinfarction syndrome	CVD		
55	a459859010	5000	Asymptomatic coronary heart disease	CVD		
56	a1235225010	5000	Prinzmetal's angina	CVD		
57	a8079871000006116	5000	Coronary heart disease monitoring telephone invitation	CVD		
58	a299741012	5000	Preinfarction syndrome	CVD		
59	a299834013	4000	Other specified ischaemic heart disease	CVD		
60	a498328016	4000	Angina at rest	CVD		
61	a299710011	4000	Acute posterior myocardial infarction	CVD		
62	a455651000006114	4000	Acute anteroseptal myocardial infarction	CVD		
63	a12626301000006112	4000	QOF (Quality and Outcomes Framework) secondary prevention of coronary heart disease quality indicator-related care invitation	CVD		
64	a451372015	4000	H/O: Treatment for ischaemic heart disease	CVD		
65	a450322013	3000	Acute non-Q wave infarction	CVD		
66	a1786197015	3000	Coronary thrombosis	CVD		
67	a2855301000006112	3000	Myocardial infarction	CVD		
68	a8459551000006115	3000	Coronary heart disease monitoring invitation	CVD		
69	a350350014	3000	New onset angina	CVD		
70	a1235573016	3000	Ventricular cardiac aneurysm	CVD		
71	a1234005010	3000	Acute inferoposterior infarction	CVD		
72	a299711010	3000	Acute lateral myocardial infarction	CVD		
73	a350376014	3000	Silent myocardial infarction	CVD		
74	a2534674015	3000	Chronic myocardial ischaemia	CVD		
75	a108561012	2000	Aneurysm of heart	CVD		
76	a299718016	2000	Other acute myocardial infarction	CVD		
77	a13823711000006118	2000	Coronary heart disease monitoring first letter	CVD		
78	a451369010	2000	H/O: Myocardial infarction in last year	CVD		
79	a39111000006114	2000	Other acute and subacute ischaemic heart disease	CVD		
80	a394541000006112	2000	[X]Ischaemic heart diseases	CVD		
81	a98087016	2000	Angina decubitus	CVD		
82	a299805019	2000	Other chronic ischaemic heart disease NOS	CVD		
83	a350354017	2000	Silent myocardial ischaemia	CVD		
84	a1654891000000110	1000	Coronary angioplasty planned	CVD		
85	a459487012	1000	Refractory angina	CVD		
86	a1550991000000116	1000	Coronary artery bypass graft operation planned	CVD		
87	a4776121000006117	1000	Generalised ischaemic myocardial dysfunction	CVD		
88	a13930051000006117	1000	Dressler's syndrome	CVD		
89	a2115181000000110	1000	Coronary microvascular disease	CVD		
90	a459488019	1000	Transient myocardial ischaemia	CVD		
91	a3371421000006117	1000	Coronary heart disease	CVD		
92	a482811000006113	1000	Angina at rest	CVD		
93	a89332015	1000	Atherosclerotic heart disease	CVD		
94	a458410010	1000	Post infarct angina	CVD		
95	a219521000000119	1000	Attack - heart	CVD		
96	a3371411000006113	900	CHD - Coronary heart disease	CVD		
97	a2536393012	800	Arteriosclerotic heart disease	CVD		
98	a119261000006115	800	Sudden cardiac death	CVD		
99	a884141000006116	700	Coronary thrombosis	CVD		
100	a299808017	700	Subsequent myocardial infarction	CVD		
101	a4032016	700	Healed myocardial infarction	CVD		
102	a208365015	700	Postoperative myocardial infarction	CVD		
103	a5887611000006117	700	Exercise-induced angina	CVD		
104	a6651391000006114	600	NSTEMI - Non-ST segment elevation MI	CVD		
105	a1234306015	600	Acute septal infarction	CVD		
106	a2609111000000119	600	Non-obstructive coronary atherosclerosis	CVD		
107	a884171000006112	600	Chr. ischaemic heart dis. NOS	CVD		
108	a1780448012	500	Coronary heart disease monitoring deleted	CVD		
109	a299720018	500	Other acute myocardial infarction NOS	CVD		
110	a299712015	500	True posterior myocardial infarction	CVD		
111	a447324018	500	Acute Q-wave infarct	CVD		
112	a3600701000006114	500	Coronary artery atheroma	CVD		
113	a109916013	500	Dressler's syndrome	CVD		
114	a59952018	400	Nocturnal angina	CVD		
115	a2537483013	400	Chronic coronary insufficiency	CVD		
116	a299723016	400	Other acute and subacute ischaemic heart disease	CVD		
117	a884161000006117	400	Acute/subacute IHD NOS	CVD		
118	a4775971000006114	400	Angina	CVD		
119	a144819018	400	Variant angina pectoris	CVD		
120	a1786198013	400	Thrombosis - coronary	CVD		
121	a460681000006116	400	Acute transmural myocardial infarction of unspecif site	CVD		
