	MedCodeId	Observations	Term	alcohol_category
0	a397729013	3000000	Trivial drinker - <1u/day	trivial_drinker
1	a4120351000006119	4000	Does not drink alcohol	non_drinker
2	a217461000000118	700000	Non - drinker	non_drinker
3	a587231000006111	500000	Non drinker alcohol	non_drinker
4	a291352018	300000	Non-drinker alcohol	non_drinker
5	a291355016	6000000	Teetotaller	non_drinker
6	a4977931000006114	20	Lifetime teetotaller	non_drinker
7	a4977911000006115	3000	Lifetime non-drinker	non_drinker
8	a13628811000006110	1000	Lifetime non-drinker of alcohol	non_drinker
9	a4120341000006116	500	Never drinks	non_drinker
10	a4120371000006112	300	Non - drinker alcohol	non_drinker
11	a250313014	1000000	Moderate drinker - 3-6u/day	moderate_drinker
12	a73012011	30000	Moderate drinker	moderate_drinker
13	a250312016	2000000	Light drinker - 1-2u/day	light_drinker
14	a629811000006113	1000000	Occasional drinker	light_drinker
15	a250340014	1000000	Alcohol intake within recommended sensible limits	light_drinker
16	a629821000006117	800000	Drinks rarely	light_drinker
17	a47085011	400000	Social drinker	light_drinker
18	a342320016	70000	Light drinker	light_drinker
19	a502017010	800000	Alcohol problem drinking	heavy_drinker
20	a250335018	200000	Alcohol intake above recommended sensible limits	heavy_drinker
21	a12878014	200000	Alcoholism	heavy_drinker
22	a250314015	200000	Heavy drinker - 7-9u/day	heavy_drinker
23	a299061000000117	100000	Hazardous alcohol use	heavy_drinker
24	a250316018	90000	Very heavy drinker - >9u/day	heavy_drinker
25	a299081000000114	70000	Harmful alcohol use	heavy_drinker
26	a110629012	60000	Chronic alcoholism	heavy_drinker
27	a295136019	50000	Alcohol dependence	heavy_drinker
28	a606991000000117	50000	Alcohol misuse	heavy_drinker
29	a342366014	40000	Binge drinker	heavy_drinker
30	a144179014	20000	Heavy drinker	heavy_drinker
31	a295139014	9000	Continuous chronic alcoholism	heavy_drinker
32	a295143013	6000	Chronic alcoholism NOS	heavy_drinker
33	a342322012	5000	Very heavy drinker	heavy_drinker
34	a117761000006116	4000	Denies alcohol abuse	heavy_drinker
