	MedCodeId	Observations	Term	eczema
0	a399917015	7000000	Eczema	eczema
1	a497341000006116	5000000	Atopic dermatitis/eczema	eczema
2	a150503015	1000000	Infantile eczema	eczema
3	a84230010	1000000	Seborrhoeic dermatitis	eczema
4	a489882019	600000	Varicose eczema	eczema
5	a63652013	500000	Contact dermatitis	eczema
6	a251783011	500000	H/O: eczema	eczema
7	a1779345010	500000	Infected eczema	eczema
8	a94953018	300000	Flexural eczema	eczema
9	a411635018	200000	Varicose veins of the leg with eczema	eczema
10	a308485016	200000	Atopic dermatitis	eczema
11	a357504010	200000	Hand eczema	eczema
12	a84231014	200000	Seborrhoeic eczema	eczema
13	a399912014	200000	Contact dermatitis and other eczemas	eczema
14	a889171000006113	200000	Dermatitis/eczemas	eczema
15	a220911000000115	200000	Seborrhoeic dermatitis of scalp	eczema
16	a889151000006115	100000	Dermatitis/eczemas NOS	eczema
17	a591221000006115	100000	Contact dermatitis NOS	eczema
18	a614361000006113	100000	Dermatitis/dermatoses	eczema
19	a622951000006114	100000	Discoid eczema	eczema
20	a622961000006111	100000	Discoid eczema	eczema
21	a308497015	100000	Atopic dermatitis NOS	eczema
22	a889161000006118	80000	Atopic eczema/dermatitis	eczema
23	a309315018	70000	[X]Dermatitis and eczema	eczema
24	a477121000006119	70000	Allergic (intrinsic) eczema	eczema
25	a740221000006117	70000	Dermatitis	eczema
26	a492621013	50000	Infectious eczematoid dermatitis	eczema
27	a357566010	50000	Allergic contact dermatitis	eczema
28	a636491000006112	50000	Dermatitis of eyelid	eczema
29	a1788053014	40000	Acute eczematoid otitis extern	eczema
30	a674301000006118	40000	Eczema of nipple	eczema
31	a512310013	30000	Eczema of external ear	eczema
32	a1775284012	30000	Irritant contact dermatitis	eczema
33	a1494721011	30000	Contact eczema	eczema
34	a308624013	30000	Contact dermatitis NOS	eczema
35	a674911000006116	20000	Contact dermatitis due to nickel	eczema
36	a20373018	20000	Contact dermatitis due to solar radiation	eczema
37	a633041000006119	20000	Vesicular eczema of hands and/or feet	eczema
38	a308492014	20000	Infantile seborrhoeic dermatitis	eczema
39	a399916012	20000	Allergic contact dermatitis due to metal	eczema
40	a889131000006110	20000	Seborrhoeic dermatitis/eczema	eczema
41	a889191000006114	20000	Atopic eczema/dermatitis NOS	eczema
42	a980491000006115	20000	Exacerbation of eczema	eczema
43	a50967012	20000	Contact dermatitis due to detergents	eczema
44	a884781000006111	20000	Varicose eczema - leg	eczema
45	a545831000006111	20000	Vesicular hand eczema	eczema
46	a308527013	10000	Contact dermatitis caused by chemical	eczema
47	a286729018	10000	Eczema herpeticum - Kaposi's varicelliform eruption	eczema
48	a889201000006112	10000	Contact dermatitis/eczema	eczema
49	a585903012	10000	Asteatotic eczema	eczema
50	a399476014	10000	Contact or allergic eyelid dermatitis	eczema
51	a1779279014	10000	Erythrodermic eczema	eczema
52	a300723011	10000	Varicose veins of the leg with ulcer and eczema	eczema
53	a195021000006118	10000	Pustular eczema	eczema
54	a219361000000115	9000	Contact eczema - eyelids	eczema
55	a192189011	9000	Pustular eczema	eczema
56	a223901000000111	8000	Contact dermatitis of eyelid	eczema
57	a135069015	6000	Nummular dermatitis	eczema
58	a737371000006110	6000	Infantile seborrhoeic dermatitis capitis	eczema
59	a486191017	5000	Gravitational eczema	eczema
60	a889121000006112	5000	Seborrhoeic dermat/eczema NOS	eczema
61	a676461000006118	5000	Atopic neurodermatitis	eczema
62	a128743013	5000	Contact dermatitis due to adhesive plaster	eczema
63	a399913016	5000	Contact dermatitis due to oils and greases	eczema
64	a552351000006115	5000	Chondrodermatitis nodularis helicis	eczema
65	a308552010	4000	Contact dermatitis due to plants	eczema
