	MedCodeId	Observations	Term	heart_failure				
0	a139475013	800000	Heart failure	heart_failure				
1	a70653017	700000	Congestive heart failure	heart_failure				
2	a141306010	700000	Left ventricular failure	heart_failure				
3	a493287011	500000	Congestive cardiac failure	heart_failure				
4	a216207010	200000	Left ventricular systolic dysfunction	heart_failure				
5	a2159197017	200000	Echocardiogram shows left ventricular systolic dysfunction	heart_failure				
6	a784191000006110	100000	Impaired left ventricular function	heart_failure				
7	a1484918019	100000	Heart failure annual review	heart_failure				
8	a2616471011	80000	New York Heart Association Classification - Class II	heart_failure				
9	a216246012	60000	Referral to heart failure clinic	heart_failure				
10	a407061000000112	60000	Heart failure monitoring first letter	heart_failure				
11	a1488591011	50000	Suspected heart failure	heart_failure				
12	a404741000000119	50000	Heart failure 6 month review	heart_failure				
13	a411506018	50000	Impaired left ventricular function	heart_failure				
14	a395772015	40000	Heart failure NOS	heart_failure				
15	a2616470012	40000	New York Heart Association Classification - Class I	heart_failure				
16	a2616472016	40000	New York Heart Association Classification - Class III	heart_failure				
17	a1484917012	30000	Heart failure follow-up	heart_failure				
18	a139482012	30000	Cardiac failure	heart_failure				
19	a308261000000111	30000	Heart failure review completed	heart_failure				
20	a216184014	30000	Congestive heart failure monitoring	heart_failure				
21	a510016018	20000	Biventricular congestive heart failure	heart_failure				
22	a300179017	20000	Decompensated cardiac failure	heart_failure				
23	a1488804017	20000	Heart failure confirmed	heart_failure				
24	a1561941000006119	20000	Excepted from heart failure quality indicators - patient unsuitable	heart_failure				
25	a132655012	20000	Chronic cor pulmonale	heart_failure				
26	a147247018	20000	Chronic congestive heart failure	heart_failure				
27	a206703015	20000	Right heart failure	heart_failure				
28	a1484901018	20000	Heart failure screen	heart_failure				
29	a2645623019	20000	Heart failure education	heart_failure				
30	a407081000000115	20000	Heart failure monitoring second letter	heart_failure				
31	a82584011	10000	Acute cor pulmonale	heart_failure				
32	a1647701000000118	10000	Heart failure with normal ejection fraction	heart_failure				
33	a308301000000118	10000	Discussion about heart failure care plan	heart_failure				
34	a300190010	10000	Acute left ventricular failure	heart_failure				
35	a3886041000006118	10000	Left heart failure	heart_failure				
36	a1561951000006117	9000	Excepted from heart failure quality indicators - informed dissent	heart_failure				
37	a1746171000000119	9000	Has heart failure management plan	heart_failure				
38	a1490256017	9000	Acute pulmonary oedema	heart_failure				
39	a251680018	8000	H/O: heart failure	heart_failure				
40	a308231000000118	8000	Heart failure monitoring administration	heart_failure				
41	a2227501000000110	8000	Heart failure with preserved ejection fraction	heart_failure				
42	a7484711000006114	7000	Heart failure medication review	heart_failure				
43	a18472010	7000	Acute congestive heart failure	heart_failure				
44	a407101000000114	5000	Heart failure monitoring third letter	heart_failure				
45	a299851018	4000	Other chronic pulmonary heart disease	heart_failure				
46	a1488629013	4000	Heart failure excluded	heart_failure				
47	a301741013	4000	Acute pulmonary oedema unspecified	heart_failure				
48	a94251011	4000	Acute heart failure	heart_failure				
49	a406801000000118	4000	Heart failure monitoring telephone invitation	heart_failure				
50	a1816101000006113	3000	Right ventricular failure	heart_failure				
51	a301743011	3000	Acute pulmonary oedema NOS	heart_failure				
52	a490972013	3000	Right ventricular failure	heart_failure				
53	a2117931000000116	3000	Heart failure self-management plan agreed	heart_failure				
54	a1769091000006112	3000	Fast track heart failure referral for transthoracic two dimensional echocardiogram	heart_failure				
55	a8214751000006115	3000	Heart failure monitoring invitation	heart_failure				
56	a2122191000000110	3000	Education about deteriorating heart failure	heart_failure				
57	a2616473014	3000	New York Heart Association Classification - Class IV	heart_failure				
58	a1165041000000115	3000	Heart failure resolved	heart_failure				
59	a395756011	2000	Chronic pulmonary heart disease NOS	heart_failure				
60	a7025691000006110	2000	Decompensated chronic heart failure	heart_failure				
61	a223981000000118	2000	Cardiac failure NOS	heart_failure				
62	a308011000000119	2000	Provision of information about heart failure	heart_failure				
63	a12626351000006111	1000	QOF (Quality and Outcomes Framework) heart failure quality indicator-related care invitation	heart_failure				
64	a407041000000111	1000	Heart failure monitoring verbal invitation	heart_failure				
65	a300180019	1000	Compensated cardiac failure	heart_failure				
66	a7573171000006116	1000	Heart failure with reduced ejection fraction	heart_failure				
67	a145620019	1000	Chronic pulmonary heart disease	heart_failure				
68	a8303561000006119	1000	Heart failure monitoring	heart_failure				
69	a2115781000000114	1000	Heart failure self-management plan review	heart_failure				
70	a2675255018	900	Congestive heart failure due to valvular disease	heart_failure				
71	a1856361000006116	900	Heart failure monitoring in primary care	heart_failure				
72	a317955011	900	Cardiorespiratory failure	heart_failure				
73	a316833010	900	Congenital cardiac failure	heart_failure				
74	a3182541000006117	900	Congestive cardiac failure	heart_failure				
75	a1959121000006111	800	Heart Age study: Failed to respond to first telephone invitation	heart_failure				
76	a453099015	800	H/O: Heart failure in last year	heart_failure				
77	a2549208013	800	Emergency hospital admission for heart failure	heart_failure				
78	a3182551000006115	800	CCF - Congestive cardiac failure	heart_failure				
79	a2205951000000117	800	Heart failure clinical pathway	heart_failure				
80	a7321121000006119	600	Heart failure with preserved ejection fraction	heart_failure				
81	a1495417010	600	Cardiac asthma	heart_failure				
82	a1539481000006114	600	Heart failure monitoring - specialist clinical needs	heart_failure				
83	a504901000006118	500	Benign hypertensive heart disease with congestive cardiac failure	heart_failure				
84	a1661371000000112	500	HFNEF - heart failure with normal ejection fraction	heart_failure				
85	a1959131000006114	300	Heart Age study: Failed to respond to second telephone invitation	heart_failure				
86	a72934016	300	Rheumatic left ventricular failure	heart_failure				
87	a1539521000006114	200	Heart failure monitoring - co-medications	heart_failure				
88	a7251291000006119	100	Chronic diastolic heart failure	heart_failure				
89	a3855401000006112	100	Cor pulmonale	heart_failure				
90	a139481017	100	Weak heart	heart_failure				
91	a2664351000006113	100	Chronic right-sided heart failure	heart_failure				
92	a1728531000006116	100	Heart failure resolved	heart_failure				
93	a1856371000006111	100	Heart failure monitoring in secondary care	heart_failure				
94	a13910671000006110	100	Heart failure with mid range ejection fraction	heart_failure				
95	a1539541000006119	90	Heart failure monitoring - palliative care	heart_failure				
96	a350484012	80	Heart failure as a complication of care	heart_failure				
97	a3283871000006117	80	Chronic heart failure	heart_failure				
98	a728681000006116	80	Malignant hypertensive heart disease without congestive heart failure	heart_failure				
