	MedCodeId	Observations	Term	hypertension
0	a99042012	30000000	Essential hypertension	hypertension
1	a64168014	10000000	Hypertensive disease	hypertension
2	a790091000006115	6000000	Hypertension monitoring	hypertension
3	a1780319017	4000000	Hypertension annual review	hypertension
4	a790011000006113	3000000	Hypertension monitoring first letter	hypertension
5	a411919011	2000000	Hypertension monitoring	hypertension
6	a1131851000000118	1000000	Lifestyle advice regarding hypertension	hypertension
7	a1780253016	1000000	Hypertension six month review	hypertension
8	a395751018	900000	Essential hypertension NOS	hypertension
9	a790121000006116	800000	Hypertension	hypertension
10	a254072010	800000	O/E - BP reading raised	hypertension
11	a299687010	800000	Hypertensive disorder	hypertension
12	a789961000006118	700000	Hypertension monitoring second letter	hypertension
13	a2159168015	600000	Patient on maximal tolerated antihypertensive therapy	hypertension
14	a790071000006116	600000	Hypertension monitoring check done	hypertension
15	a931171000006114	400000	Excepted from hypertension quality indicators - informed dissent	hypertension
16	a251674014	400000	H/O: hypertension	hypertension
17	a789971000006113	300000	Hypertension monitoring third letter	hypertension
18	a789991000006114	300000	Hypertension monitoring telephone invite	hypertension
19	a3135013	300000	Benign essential hypertension	hypertension
20	a285265015	200000	Seen in hypertension clinic	hypertension
21	a264471012	200000	Good hypertension control	hypertension
22	a21601000000111	200000	Hypertension monitoring administration	hypertension
23	a443764015	100000	On treatment for hypertension	hypertension
24	a264486018	100000	Hypertensive treatment changed	hypertension
25	a498791000006113	100000	Attends hypertension monitoring	hypertension
26	a413076015	100000	White coat hypertension	hypertension
27	a790001000006110	100000	Hypertension monitoring verbal invite	hypertension
28	a264472017	90000	Poor hypertension control	hypertension
29	a940001000006110	90000	Hypertension medication review	hypertension
30	a1484957010	80000	DNA - Did not attend hypertension clinic	hypertension
31	a405053013	80000	Hypertension monitored	hypertension
32	a523801000006119	70000	BP - hypertensive disease	hypertension
33	a93494011	60000	Systolic hypertension	hypertension
34	a451424017	60000	Antihypertensive therapy	hypertension
35	a856971000006112	60000	Hypertensive clinic	hypertension
36	a790131000006118	60000	Hypertension resolved	hypertension
37	a264467014	50000	Yearly observation of borderline hypertension	hypertension
38	a16051000000119	50000	Hypertens.monitoring admin.NOS	hypertension
39	a43850011	50000	Pulmonary arterial hypertension	hypertension
40	a264485019	40000	Treatment for hypertension started	hypertension
41	a253532015	40000	Hypertension resolved	hypertension
42	a8439991000006115	40000	Hypertension monitoring SMS (short message service) text message first invitation	hypertension
43	a5999791000006119	40000	Hypertension monitoring invitation	hypertension
44	a2548266018	40000	Suspected hypertension	hypertension
45	a107545013	30000	Hypertensive heart disease	hypertension
46	a2117971000000119	30000	Hypertension self-management plan agreed	hypertension
47	a790031000006119	30000	Hypertension annual review	hypertension
48	a264473010	30000	Hypertension:follow-up default	hypertension
49	a2474335018	30000	Hypertension clinical management plan	hypertension
50	a264466017	30000	Pre-treatment BP reading	hypertension
51	a53452019	30000	Secondary hypertension	hypertension
52	a12626361000006113	30000	QOF (Quality and Outcomes Framework) hypertension quality indicator-related care invitation	hypertension
53	a254073017	30000	O/E - BP reading very high	hypertension
54	a153941000006118	30000	Seen in hypertension clinic	hypertension
55	a1846991000006111	30000	Stage 2 hypertension (NICE - National Institute for Health and Clinical Excellence 2011)	hypertension
56	a789951000006115	20000	Hypertension monitoring offer default	hypertension
57	a284062018	20000	Referral to hypertension clinic	hypertension
58	a146259010	20000	Secondary pulmonary hypertension	hypertension
59	a1908711000006115	20000	Stage 1 hypertension (NICE 2011) without evidence of end organ damage	hypertension
60	a131046010	20000	Malignant essential hypertension	hypertension
61	a1846941000006119	20000	Stage 1 hypertension (NICE - National Institute for Health and Clinical Excellence 2011)	hypertension
62	a2193031000000112	20000	Stage 1 hypertension	hypertension
63	a12496011	20000	Hypertensive retinopathy	hypertension
64	a64282015	20000	Hypertensive renal disease	hypertension
65	a26091000000116	20000	Hypertension clinic administration	hypertension
66	a7276911000006114	10000	Lifestyle education regarding hypertension	hypertension
67	a1706551000000114	10000	Hypertension 9 month review	hypertension
68	a8439981000006118	10000	Hypertension monitoring invitation SMS (short message service) text message	hypertension
69	a1780318013	9000	Moderate hypertension control	hypertension
70	a264487010	9000	Treatment for hypertension stopped	hypertension
71	a264490016	9000	Digoxin monitoring	hypertension
72	a8440001000006117	8000	Hypertension monitoring SMS (short message service) text message second invitation	hypertension
73	a47076011	6000	Renal hypertension	hypertension
74	a3654631000006113	5000	Pulmonary hypertension	hypertension
75	a179371000006114	4000	Hypertension monitoring refused	hypertension
76	a411508017	4000	Cardiomegaly - hypertensive	hypertension
77	a504831000006116	4000	"Benign essential hypertension complicating pregnancy, childbirth and the puerperium"	hypertension
78	a299686018	4000	Other specified hypertensive disease	hypertension
79	a80224019	3000	Diastolic hypertension	hypertension
80	a1780252014	3000	Hypertension treatment refused	hypertension
81	a54939014	2000	Nephrosclerosis	hypertension
82	a1855781000006115	2000	Hypertension monitoring in primary care	hypertension
83	a2193021000000110	2000	Severe hypertension	hypertension
84	a1908721000006111	2000	Stage 1 hypertension (NICE 2011) with evidence of end organ damage	hypertension
85	a84111015	2000	Hypertensive encephalopathy	hypertension
86	a1776461000006114	2000	Reason for referral: Blood Pressure	hypertension
87	a6516381000006117	2000	Did not attend hypertension clinic	hypertension
88	a2193971000000110	2000	Hypertension resistant to drug therapy	hypertension
89	a350517010	2000	Thromboembolic pulmonary hypertension	hypertension
90	a3642801000006112	2000	Malignant hypertension	hypertension
91	a212991000006114	2000	Pre-eclampsia or eclampsia with pre-existing hypertension - delivered	hypertension
92	a395753015	2000	Hypertensive renal disease NOS	hypertension
93	a2115801000000110	2000	Hypertension self-management plan review	hypertension
94	a299665018	1000	Hypertensive renal disease with renal failure	hypertension
95	a262960017	1000	Hypertension induced by oral contraceptive pill	hypertension
96	a299683014	1000	Renovascular hypertension	hypertension
97	a2423811000000118	1000	Telehealth hypertension monitoring	hypertension
98	a8440011000006119	1000	Hypertension monitoring SMS (short message service) text message third invitation	hypertension
99	a299681011	1000	Hypertension secondary to endocrine disorders	hypertension
100	a158241000006117	1000	Secondary hypertension NOS	hypertension
101	a213011000006113	1000	Pre-eclampsia or eclampsia with hypertension unspecified	hypertension
102	a1846961000006115	1000	Severe hypertension (NICE - National Institute for Health and Clinical Excellence 2011)	hypertension
103	a5978371000006116	900	Hypertension screening recall	hypertension
104	a331291010	900	Adverse reaction to other antihypertensives	hypertension
105	a299682016	900	Secondary hypertension NOS	hypertension
106	a108730018	800	Malignant hypertensive renal disease	hypertension
107	a1011861000006110	800	Adverse reaction to Antihypertensive Drugs	hypertension
108	a331302012	800	Antihypertensive adverse reaction	hypertension
109	a884121000006111	800	Malignant hypertension	hypertension
110	a285672012	700	BP ABNORMAL - 3rd recall	hypertension
111	a99047018	700	Primary hypertension	hypertension
112	a504791000006111	700	"Benign essential hypertension complicating pregnancy, childbirth and the puerperium - delivered"	hypertension
113	a504811000006110	700	Benign essential hypertension in preg/childb/puerp unspec	hypertension
114	a305818015	700	Pre-eclampsia or eclampsia with pre-existing hypertension	hypertension
115	a7502051000006114	700	Labile hypertension due to being in a clinical environment	hypertension
