	MedCodeId	Observations	Term	renal_failure
0	a618391000000118	800	CKD stage 1 with proteinuria	renal_failure
1	a618401000000115	1000	CKD stage 1 without proteinuria	renal_failure
2	a618411000000118	2000	CKD stage 2 with proteinuria	renal_failure
3	a618421000000112	8000	CKD stage 2 without proteinuria	renal_failure
4	a618431000000114	10000	CKD stage 3 with proteinuria	renal_failure
5	a618441000000117	30000	CKD stage 3 without proteinuria	renal_failure
6	a618451000000119	5000	CKD stage 3A with proteinuria	renal_failure
7	a618461000000116	30000	CKD stage 3A without proteinuria	renal_failure
8	a618471000000111	6000	CKD stage 3B with proteinuria	renal_failure
9	a618481000000113	10000	CKD stage 3B without proteinuria	renal_failure
10	a618491000000110	9000	CKD stage 4 with proteinuria	renal_failure
11	a618501000000116	6000	CKD stage 4 without proteinuria	renal_failure
12	a618511000000119	3000	CKD stage 5 with proteinuria	renal_failure
13	a618521000000113	1000	CKD stage 5 without proteinuria	renal_failure
14	a7147741000006114	4	CKD stage 1	renal_failure
15	a7147761000006113	6	CKD stage 2	renal_failure
16	a7147781000006115	80	CKD stage 4	renal_failure
17	a7174791000006111	50	CKD stage 3	renal_failure
18	a7174851000006111	40	CKD stage 5	renal_failure
19	a305192017	300	[X]Other chronic renal failure	renal_failure
20	a354406016	100000	Renal impairment	renal_failure
21	a354409011	100000	Chronic renal impairment	renal_failure
22	a354417015	4000	Acute-on-chronic renal failure	renal_failure
23	a509111010	400000	Chronic renal failure	renal_failure
24	a595541000000119	800	Chronic kidney disease stage 1 with proteinuria	renal_failure
25	a595601000000118	1000	Chronic kidney disease stage 1 without proteinuria	renal_failure
26	a595661000000119	3000	Chronic kidney disease stage 2 with proteinuria	renal_failure
27	a595721000000116	9000	Chronic kidney disease stage 2 without proteinuria	renal_failure
28	a595811000000117	30000	Chronic kidney disease stage 3 with proteinuria	renal_failure
29	a595871000000110	100000	Chronic kidney disease stage 3 without proteinuria	renal_failure
30	a595931000000116	10000	Chronic kidney disease stage 3A with proteinuria	renal_failure
