	MedCodeId	Observations	Term	skin_infection
0	a115336016	20000	Abscess of vulva	skin_infection
1	a117333013	9000	Cellulitis of toe	skin_infection
2	a1227883019	200000	Skin abscess	skin_infection
3	a1227884013	10000	Cutaneous abscess	skin_infection
4	a126431017	4000	Abscess of eyelid	skin_infection
5	a137308019	1000	Abscess of lip	skin_infection
6	a13937301000006115	6	Cellulitis and abscess of hand	skin_infection
7	a14071441000006113	7	Cellulitis of foot due to diabetes mellitus	skin_infection
8	a158680013	9000	Cellulitis of external ear	skin_infection
9	a165687010	100	Abscess of thyroid	skin_infection
10	a177041017	100	Abscess of bursa	skin_infection
11	a178464010	60	Abscess of tendon	skin_infection
12	a206541013	200000	Cellulitis of foot	skin_infection
13	a219461000000111	3000	"Abscess, external ear"	skin_infection
14	a219471000000116	20000	"Cellulitis, external ear"	skin_infection
15	a25168017	4000	Cellulitis of penis	skin_infection
16	a2560021000006115	3	Drainage of abscess of eyelid	skin_infection
17	a267227019	900	Drainage of abscess of external ear	skin_infection
18	a269491000006113	30	Obstetric breast abscess - delivered with postnatal complication	skin_infection
19	a296923013	70	Intracranial abscess NOS	skin_infection
20	a298680016	60000	Orbital cellulitis	skin_infection
21	a298954015	300	Infective otitis externa due to erysipelas	skin_infection
22	a298955019	400	Erysipelas - otitis externa	skin_infection
23	a298959013	1000	Infective otitis externa due to impetigo	skin_infection
24	a298960015	2000	Impetigo - otitis externa	skin_infection
25	a302270018	1000	Cellulitis of floor of mouth	skin_infection
26	a304604017	200	Retromammary breast abscess	skin_infection
27	a304755016	2000	Other abscess of vulva	skin_infection
28	a304766011	90	Other abscess of vulva NOS	skin_infection
29	a307947010	100	Obstetric breast abscess unspecified	skin_infection
30	a307948017	300	Obstetric breast abscess - delivered	skin_infection
31	a307950013	4	Obstetric breast abscess with antenatal complication	skin_infection
32	a307951012	200	Obstetric breast abscess with postnatal complication	skin_infection
33	a307952017	300	Obstetric breast abscess NOS	skin_infection
34	a308234014	500	Carbuncle of skin and/or subcutaneous tissue	skin_infection
