	MedCodeId	Observations	Term	smoke_category
0	a102921000006112	2000000	Tobacco smoking consumption	current-smoker
1	a108938018	20000000	Cigarette smoker	current-smoker
2	a503483019	10000000	Current smoker	current-smoker
3	a700121000006118	3000000	Moderate cigarette smoker (10-19 cigs/day)	current-smoker
4	a250372012	2000000	Trying to give up smoking	current-smoker
5	a743331000006116	2000000	Light cigarette smoker (1-9 cigs/day)	current-smoker
6	a250375014	1000000	Rolls own cigarettes	current-smoker
7	a819331000006110	1000000	Heavy cigarette smoker (20-39 cigs/day)	current-smoker
8	a1488578010	900000	Not interested in stopping smoking	current-smoker
9	a128130017	800000	Smoker	current-smoker
10	a344793011	800000	Cigarette consumption	current-smoker
11	a459722017	800000	Referral to stop-smoking clinic	current-smoker
12	a1488576014	700000	Thinking about stopping smoking	current-smoker
13	a88471000006112	500000	Trivial cigarette smoker (less than one cigarette/day)	current-smoker
14	a1488577017	400000	Ready to stop smoking	current-smoker
15	a1780396011	400000	Cigarette pack-years	current-smoker
16	a342574011	400000	Total time smoked	current-smoker
17	a498831000006118	400000	Attends stop smoking monitoring	current-smoker
18	a99639019	300000	Cigar smoker	current-smoker
19	a128381000006117	200000	Stop smoking monitoring check done	current-smoker
20	a136515019	200000	Pipe smoker	current-smoker
21	a21681000000118	200000	Anti-smoking monitoring admin.	current-smoker
22	a909391000006117	20000	[RFC] Smoking cessation	current-smoker
23	a397733018	200000	Occasional smoker	current-smoker
24	a338608011	40000000	Smoking cessation advice	current-smoker
25	a1489355012	1000000	Referral to smoking cessation advisor	current-smoker
26	a856371000006111	200000	Smoking clinic	current-smoker
27	a128311000006112	100000	Stop smoking monitoring first letter	current-smoker
28	a1488873010	100000	Smoking free weeks	current-smoker
29	a1715591000006117	100000	Referral to National Health Service stop smoking service	current-smoker
30	a1750931000000118	100000	Stop smoking service opportunity signposted	current-smoker
31	a21691000000116	100000	Anti-smoking monitoring administration	current-smoker
32	a2474719011	100000	Minutes from waking to first tobacco consumption	current-smoker
33	a2669652019	100000	Smoking started	current-smoker
34	a67621000006112	100000	Very heavy cigarette smoker (40+ cigs/day)	current-smoker
35	a128371000006115	90000	Stop smoking monitoring verbal invite	current-smoker
36	a1780273014	1000000	Seen by smoking cessation advisor	current-smoker
37	a137721000006115	70000	Smoker - amount smoked	current-smoker
38	a1176421000000118	900000	Smoking cessation advice declined	current-smoker
39	a250387019	70000	Tobacco consumption NOS	current-smoker
40	a1175011000000112	400000	Smoking cessation programme declined	current-smoker
41	a1484933010	400000	Negotiated date for cessation of smoking	current-smoker
42	a1592611000000110	60000	Failed attempt to stop smoking	current-smoker
43	a16261000000110	60000	Stop smoking monitoring administration	current-smoker
44	a250368013	60000	Keeps trying to stop smoking	current-smoker
45	a1773560017	300000	Smoking cessation programme start date	current-smoker
46	a37311000006117	50000	Other anti-smoking drug given	current-smoker
47	a854021000006115	50000	Cigarette smoker	current-smoker
48	a904021000006118	50000	Previous smoking quit attempts	current-smoker
49	a1484935015	40000	Smoking status between 4 and 52 weeks	current-smoker
50	a216212011	40000	Smoking reduced	current-smoker
51	a2141561000000115	300000	Smoking cessation drug therapy declined	current-smoker
52	a1152111000000118	30000	Current smoker annual review	current-smoker
53	a1125741000000111	200000	Brief intervention for smoking cessation	current-smoker
54	a25281000000119	30000	Stop smoking clinic administration	current-smoker
55	a1709641000000115	200000	Referral for smoking cessation service offered	current-smoker
56	a604961000006114	30000	Current Smoker NOS	current-smoker
57	a904091000006116	30000	Date of last cigarette	current-smoker
58	a128361000006110	20000	Stop smoking monitoring telephone invite	current-smoker
59	a2251871000000112	200000	Referral to smoking cessation service declined	current-smoker
60	a1780360012	20000	Reason for restarting smoking	current-smoker
61	a2670126018	20000	Smoking restarted	current-smoker
62	a62881000000117	200000	DNA - Did not attend smoking cessation clinic	current-smoker
63	a344794017	20000	Cigar consumption	current-smoker
64	a904181000006118	80000	Smoking cessation counselling	current-smoker
65	a904121000006117	20000	Carbon monoxide validation confirms smoker	current-smoker
66	a2251911000000114	70000	Referral to smoking cessation service	current-smoker
67	a852131000006112	70000	Smoking cessation-practice nurse support	current-smoker
68	a904011000006114	70000	Smoking cessation declaration signed by patient	current-smoker
69	a128321000006116	10000	Stop smoking monitoring second letter	current-smoker
