	MedCodeId	Observations	Term	stroke			
0	a405339016	900000	Cerebrovascular accident	stroke			
1	a405339016	900000	Cerebrovascular accident	stroke			
2	a395783012	800000	Transient ischaemic attack	stroke			
3	a395783012	800000	Transient ischaemic attack	stroke			
4	a395788015	700000	Transient cerebral ischaemia	stroke			
5	a395788015	700000	Transient cerebral ischaemia	stroke			
6	a104563015	600000	Cerebrovascular disease	stroke			
7	a605501000006117	400000	CVA unspecified	stroke			
8	a605501000006117	400000	CVA unspecified	stroke			
9	a1780304018	300000	CVA annual review	stroke			
10	a605491000006113	200000	CVA - Cerebrovascular accident	stroke			
11	a605491000006113	200000	CVA - Cerebrovascular accident	stroke			
12	a395780010	200000	Cerebral infarction	stroke			
13	a395780010	200000	Cerebral infarction	stroke			
14	a1222398015	100000	Cerebral arterial occlusion	stroke			
15	a481028017	100000	Subarachnoid haemorrhage	stroke			
16	a605461000006117	100000	CVA - cerebrovascular accident due to cerebral artery occlusion	stroke			
17	a605461000006117	100000	CVA - cerebrovascular accident due to cerebral artery occlusion	stroke			
18	a1222398015	100000	Cerebral arterial occlusion	stroke			
19	a122401000006115	90000	Stroke unspecified	stroke			
20	a122401000006115	90000	Stroke unspecified	stroke			
21	a744901000006114	70000	Intracerebral haemorrhage (ICH)	stroke			
22	a744901000006114	70000	Intracerebral haemorrhage (ICH)	stroke			
23	a251692018	70000	H/O: TIA	stroke			
24	a145925010	70000	Amaurosis fugax	stroke			
25	a113392018	60000	Benign intracranial hypertension	stroke			
26	a300371014	60000	Right sided CVA	stroke			
27	a300370010	60000	Left sided CVA	stroke			
28	a300370010	60000	Left sided CVA	stroke			
29	a300371014	60000	Right sided CVA	stroke			
30	a1130181000000113	50000	Small vessel cerebrovascular disease	stroke			
31	a497559016	50000	Arteriosclerotic dementia	stroke			
32	a497559016	50000	Arteriosclerotic dementia	stroke			
33	a411518010	40000	H/O: CVA	stroke			
34	a605471000006112	40000	Cerebral hemorrhage	stroke			
35	a605471000006112	40000	Cerebral hemorrhage	stroke			
36	a696161000006115	30000	Multi-infarct dementia	stroke			
37	a2476091017	30000	H/O: stroke	stroke			
38	a451133011	30000	Left sided cerebral infarction	stroke			
39	a451133011	30000	Left sided cerebral infarction	stroke			
40	a696161000006115	30000	Multi-infarct dementia	stroke			
41	a122361000006113	30000	Stroke due to cerebral arterial occlusion	stroke			
42	a122361000006113	30000	Stroke due to cerebral arterial occlusion	stroke			
43	a158118014	30000	Cerebellar infarction	stroke			
44	a391035012	30000	Traumatic subdural hematoma	stroke			
45	a158118014	30000	Cerebellar infarction	stroke			
46	a118689010	20000	Cerebral thrombosis	stroke			
47	a122371000006118	20000	Cerebral haemorrhage	stroke			
48	a67511000006117	20000	Vertebro-basilar insufficiency	stroke			
49	a5010981000006119	20000	Stroke	stroke			
50	a2534198011	20000	Subdural haemorrhage	stroke			
51	a884521000006115	20000	Stroke/CVA - undefined	stroke			
52	a122371000006118	20000	Cerebral haemorrhage	stroke			
53	a118689010	20000	Cerebral thrombosis	stroke			
54	a5010981000006119	20000	Stroke	stroke			
55	a451134017	20000	Right sided cerebral infarction	stroke			
56	a451134017	20000	Right sided cerebral infarction	stroke			
57	a67511000006117	20000	Vertebro-basilar insufficiency	stroke			
58	a2475119012	20000	Non-traumatic subdural haemorrhage	stroke			
