	MedCodeId	Observations	Term	thyroid_disease
0	a101891000006113	800	Thyrotoxicosis without mention of goitre or cause no crisis	thyroid_disease
1	a101911000006110	200	"Thyrotoxicosis without mention of goitre, cause with crisis"	thyroid_disease
2	a1233040016	100	Myopathy due to thyrotoxicosis	thyroid_disease
3	a123651000006111	5000	Subclinical iodine deficiency hypothyroidism	thyroid_disease
4	a150375010	500000	Thyrotoxicosis	thyroid_disease
5	a1539151000006110	500	Secondary hypothyroidism	thyroid_disease
6	a178809013	2000000	Acquired hypothyroidism	thyroid_disease
7	a1823931000006116	20	Hypothyroidism confirmed	thyroid_disease
8	a1842051000006119	10	Subclinical hyperthyroidism	thyroid_disease
9	a1842051000006119	10	Subclinical hyperthyroidism	thyroid_disease
10	a211321000006115	100	Postinfectious hypothyroidism	thyroid_disease
11	a216181000006112	5000	Postablative hypothyroidism	thyroid_disease
12	a225971000000116	20000	Hypothyroidism monitoring administration	thyroid_disease
13	a23518016	200	Neonatal thyrotoxicosis	thyroid_disease
14	a2474336017	3000	Hypothyroidism clinical management plan	thyroid_disease
15	a2533420013	10000	Hypothyroidism monitoring third letter	thyroid_disease
16	a2533422017	200000	Hypothyroidism monitoring first letter	thyroid_disease
17	a2533534011	40000	Hypothyroidism monitoring second letter	thyroid_disease
18	a2536050019	90000	Post-surgical hypothyroidism	thyroid_disease
19	a2548835019	5000	Hypothyroidism monitoring verbal invite	thyroid_disease
20	a2588971000006116	1	Neonatal transient hyperthyroidism	thyroid_disease
21	a2694637015	50000	Congenital hypothyroidism not suspected	thyroid_disease
22	a2694637015	50000	Congenital hypothyroidism not suspected	thyroid_disease
23	a2694980014	20000	Subclinical hyperthyroidism	thyroid_disease
24	a2694980014	20000	Subclinical hyperthyroidism	thyroid_disease
25	a2922501000006118	9	Thyrotoxicosis due to multinodular goitre	thyroid_disease
26	a2922511000006115	1	Thyrotoxicosis with toxic multinodular goitre	thyroid_disease
27	a292355019	10	Thyrotoxicosis from ectopic thyroid nodule with no crisis	thyroid_disease
28	a292356018	2	Thyrotoxicosis from ectopic thyroid nodule with crisis	thyroid_disease
29	a292357010	20	Thyrotoxicosis from ectopic thyroid nodule NOS	thyroid_disease
30	a292361016	200	Thyrotoxicosis of other specified origin with no crisis	thyroid_disease
31	a292362011	40	Thyrotoxicosis of other specified origin with crisis	thyroid_disease
32	a292365013	300	Thyrotoxicosis of other specified origin NOS	thyroid_disease
33	a292366014	40000	Thyrotoxicosis without mention of goitre or other cause	thyroid_disease
34	a292372014	40000	Thyrotoxicosis NOS	thyroid_disease
35	a292373016	60000	Congenital hypothyroidism	thyroid_disease
36	a292373016	60000	Congenital hypothyroidism	thyroid_disease
37	a292376012	80	Other specified congenital hypothyroidism	thyroid_disease
38	a292376012	80	Other specified congenital hypothyroidism	thyroid_disease
39	a292394018	2000	Other postablative hypothyroidism	thyroid_disease
40	a292395017	20000	Irradiation hypothyroidism	thyroid_disease
41	a292396016	3000	Postablative hypothyroidism NOS	thyroid_disease
42	a292397013	10000	Iodine hypothyroidism	thyroid_disease
43	a292400016	3000	Iatrogenic hypothyroidism	thyroid_disease
44	a292401017	20	Hypothyroidism resulting from para-aminosalicylic acid	thyroid_disease
45	a292402012	1	Hypothyroidism resulting from phenylbutazone	thyroid_disease
46	a292403019	4	Hypothyroidism resulting from resorcinol	thyroid_disease
47	a292404013	7000	Iatrogenic hypothyroidism NOS	thyroid_disease
48	a292408011	500000	Other acquired hypothyroidism	thyroid_disease
49	a292417011	40	Premature puberty due to hypothyroidism	thyroid_disease
50	a2933321000006112	300	Postoperative hypothyroidism	thyroid_disease
51	a2933341000006117	300	Postsurgical hypothyroidism	thyroid_disease
52	a293750016	900	[X]Other thyrotoxicosis	thyroid_disease
53	a297588017	20	Myasthenic syndrome due to hypothyroidism	thyroid_disease
54	a297591017	40	Myasthenic syndrome due to thyrotoxicosis	thyroid_disease
55	a3152641000006114	30	Hypothyroidism following radioiodine therapy	thyroid_disease
56	a3152651000006111	1	Radioactive iodine-induced hypothyroidism	thyroid_disease
57	a316625012	50	Neonatal jaundice with congenital hypothyroidism	thyroid_disease
