	ProdCodeId	Term	Depression_antidepressants
0	5077041000033116	Agomelatine 25mg tablets	Depression_antidepressants
1	259241000033111	Citalopram 20mg tablets	Depression_antidepressants
2	1583341000033118	Citalopram 10mg tablets	Depression_antidepressants
3	1583141000033116	Citalopram 40mg tablets	Depression_antidepressants
4	2749541000033116	Escitalopram 10mg tablets	Depression_antidepressants
5	2951341000033116	Escitalopram 20mg tablets	Depression_antidepressants
6	3030341000033110	Escitalopram 5mg tablets	Depression_antidepressants
7	1900641000033112	Citalopram 40mg/ml oral drops sugar free	Depression_antidepressants
8	5128541000033119	Escitalopram 20mg/ml oral drops sugar free	Depression_antidepressants
9	3928841000033110	Escitalopram 10mg/ml oral drops sugar free	Depression_antidepressants
10	3226741000033119	Duloxetine 60mg gastro-resistant capsules	Depression_antidepressants
11	3226641000033111	Duloxetine 30mg gastro-resistant capsules	Depression_antidepressants
12	3177641000033112	Duloxetine 20mg gastro-resistant capsules	Depression_antidepressants
13	3177741000033115	Duloxetine 40mg gastro-resistant capsules	Depression_antidepressants
14	577841000033114	Fluoxetine 20mg capsules	Depression_antidepressants
15	2770641000033114	Fluoxetine 20mg/5ml oral solution	Depression_antidepressants
16	579041000033111	Fluoxetine 60mg capsules	Depression_antidepressants
17	11603841000033119	Fluoxetine 10mg capsules	Depression_antidepressants
18	11707541000033118	Fluoxetine 40mg capsules	Depression_antidepressants
19	5749441000033115	Fluoxetine 20mg/5ml oral solution sugar free	Depression_antidepressants
20	9120641000033112	Fluoxetine 20mg dispersible tablets sugar free	Depression_antidepressants
21	6496341000033116	Fluoxetine 10mg tablets	Depression_antidepressants
22	11707441000033119	Fluoxetine 30mg capsules	Depression_antidepressants
23	592541000033118	Fluoxetine Hydrochloride Liquid 20 mg/5 ml	Depression_antidepressants
24	592841000033116	Fluvoxamine 100mg tablets	Depression_antidepressants
25	595541000033113	Fluvoxamine 50mg tablets	Depression_antidepressants
26	1454741000033115	Trimipramine 50mg capsules	Depression_antidepressants
27	1471441000033110	Trimipramine 25mg tablets	Depression_antidepressants
28	1471341000033116	Trimipramine 10mg tablets	Depression_antidepressants
29	787141000033110	Isocarboxazid 10mg tablets	Depression_antidepressants
30	850141000033116	Lofepramine 70mg tablets	Depression_antidepressants
31	849241000033115	Lofepramine 70mg/5ml oral suspension sugar free	Depression_antidepressants
32	5996741000033119	Lofepramine 70mg/5ml oral suspension	Depression_antidepressants
33	5996641000033111	Lofepramine 70mg/5ml oral solution	Depression_antidepressants
34	917741000033119	Mianserin 30mg tablets	Depression_antidepressants
35	917541000033110	Mianserin 10mg tablets	Depression_antidepressants
36	917641000033111	Mianserin 20mg tablets	Depression_antidepressants
37	919641000033115	Mirtazapine 30mg tablets	Depression_antidepressants
38	3256741000033118	Mirtazapine 15mg tablets	Depression_antidepressants
39	3256841000033111	Mirtazapine 45mg tablets	Depression_antidepressants
40	3029641000033112	Mirtazapine 15mg orodispersible tablets	Depression_antidepressants
41	3029741000033115	Mirtazapine 45mg orodispersible tablets	Depression_antidepressants
42	2974841000033114	Mirtazapine 30mg orodispersible tablets	Depression_antidepressants
43	3058741000033113	Mirtazapine 15mg/ml oral solution sugar free	Depression_antidepressants
44	937241000033118	Moclobemide 150mg tablets	Depression_antidepressants
45	937841000033119	Moclobemide 300mg tablets	Depression_antidepressants
46	1040841000033112	Parnate Tablets 10 mg	Depression_antidepressants
47	1042141000033117	Paroxetine 20mg tablets	Depression_antidepressants
