	MedCodeId	Observations	Term	Depression_diagnosis
0	488211000006112	8000000.0	Mixed anxiety and depressive disorder	Depression_diagnosis
1	376691000006116	5000000.0	Depression	Depression_diagnosis
2	295535012	5000000.0	Depressive disorder	Depression_diagnosis
3	2164006016	3000000.0	Depressed	Depression_diagnosis
4	376721000006114	1000000.0	Depressive episode	Depression_diagnosis
5	675861000006113	800000.0	Reactive depression (situational)	Depression_diagnosis
6	296138013	700000.0	[X]Moderate depressive episode	Depression_diagnosis
7	401872015	600000.0	[X]Depressive episode, unspecified	Depression_diagnosis
8	223651000000118	500000.0	Postpartum depression	Depression_diagnosis
9	359121000006116	400000.0	Reactive depression	Depression_diagnosis
10	401766011	400000.0	Major depression, single episode	Depression_diagnosis
11	882671000006112	300000.0	Depression	Depression_diagnosis
12	295537016	300000.0	Chronic depression	Depression_diagnosis
13	398561000006117	300000.0	[X]Mixed anxiety and depressive disorder	Depression_diagnosis
14	401873013	300000.0	[X]Recurrent depressive disorder	Depression_diagnosis
15	294844012	300000.0	Recurrent depression	Depression_diagnosis
16	296137015	200000.0	Mild depression	Depression_diagnosis
17	441826016	200000.0	Endogenous depression	Depression_diagnosis
18	882681000006110	200000.0	Depression NOS	Depression_diagnosis
19	410861011	200000.0	Endogenous depression - recurrent	Depression_diagnosis
20	473201000006114	200000.0	Mood disorder	Depression_diagnosis
21	401866015	100000.0	[X]Severe depressive episode without psychotic symptoms	Depression_diagnosis
22	138421012	100000.0	Agitated depression	Depression_diagnosis
23	213641000000111	90000.0	[X]Mild depression	Depression_diagnosis
24	346972018	80000.0	Endogenous depression first episode	Depression_diagnosis
25	882401000006115	80000.0	Reactive (neurotic) depression	Depression_diagnosis
26	474171000006112	80000.0	Agitated depression	Depression_diagnosis
27	294826016	50000.0	Moderate major depression, single episode	Depression_diagnosis
28	294825017	50000.0	Mild major depression, single episode	Depression_diagnosis
29	642461000006116	50000.0	Endogenous depression first episode	Depression_diagnosis
30	182721000006111	50000.0	Recurrent major depressive episodes	Depression_diagnosis
31	376711000006118	50000.0	[X]Depressive disorder NOS	Depression_diagnosis
32	1231868010	30000.0	Puerperal depression	Depression_diagnosis
33	294824018	30000.0	Single major depressive episode, unspecified	Depression_diagnosis
34	398351000006110	30000.0	[X]Mild anxiety depression	Depression_diagnosis
35	6000711000006112	20000.0	Moderate depression	Depression_diagnosis
36	1839581000006112	20000.0	PHQ9 total score 20-27 (severe depression)	Depression_diagnosis
