	MedCodeId	Observations	Term	SMI_symptom
0	223601000000119	4000.0	Manic psychosis	SMI_symptom
1	294806015	1000.0	Single manic episode, severe, with psychosis	SMI_symptom
2	396741000006113	8000.0	[X]Manic episode	SMI_symptom
3	2157096015	1000.0	Manic mood	SMI_symptom
4	851691000006114		Hypomanic	SMI_symptom
5	3175731000006118	2.0	Amok	SMI_symptom
6	914461000006118	300.0	[X]Capgras syndrome	SMI_symptom
7	914471000006113	100.0	[X]Delusional misidentification syndrome	SMI_symptom
8	3224391000006119	3.0	Capgras syndrome	SMI_symptom
9	967791000006111	70.0	[X]Cotard syndrome	SMI_symptom
10	5128661000006118	1.0	Delusion of foul odour	SMI_symptom
11	2532965018	200.0	Erotomania	SMI_symptom
12	5645621000006116	5.0	De Clerambault's syndrome	SMI_symptom
13	369805011	900.0	Grandiose delusions	SMI_symptom
14	389401000006111	40000.0	Hypomania	SMI_symptom
15	5649431000006118	8.0	Hypomanic mood	SMI_symptom
16	492910018	400.0	Ideas of reference	SMI_symptom
17	425921000006114	10.0	[X]Sensitiver Beziehungswahn	SMI_symptom
18	3760411000006111	4.0	Jealous delusion disorder	SMI_symptom
19	423041000006119	200.0	[X]Post-schizophrenic depression	SMI_symptom
20	5023901000006110	4.0	Post-schizophrenic depression	SMI_symptom
21	294920014	3000.0	Reactive confusion	SMI_symptom
22	294810017	2000.0	Recurrent manic episodes	SMI_symptom
23	294811018	400.0	Recurrent manic episodes, unspecified	SMI_symptom
24	294818012	300.0	Recurrent manic episode NOS	SMI_symptom
25	424661000006111	200.0	[X]Recurrent manic episodes	SMI_symptom
26	294812013	200.0	Recurrent manic episodes, mild	SMI_symptom
27	294813015	300.0	Recurrent manic episodes, moderate	SMI_symptom
28	182871000006115	60.0	Recurrent manic episodes, severe	SMI_symptom
29	294927012	50.0	Psychogenic stupor	SMI_symptom
30	294817019	400.0	Recurrent manic episodes, in full remission	SMI_symptom
31	182861000006110	60.0	Recurrent manic episodes, in partial remission	SMI_symptom
32	294808019	1000.0	Single manic episode in full remission	SMI_symptom
33	294807012	20.0	Single manic episode in partial remission	SMI_symptom
34	8237871000006117	5.0	Single manic episode in remission	SMI_symptom
35	7515091000006113	1.0	Delusional disorder in remission	SMI_symptom
36	424231000006116	100000.0	Psychotic	SMI_symptom
37	294840015	10000.0	Recurrent major depressive episodes, severe, with psychosis	SMI_symptom
38	423271000006116	30.0	Prepsychotic schizophrenia	SMI_symptom
39	423471000006117	300.0	Prodromal schizophrenia	SMI_symptom
40	294828015	10000.0	Single major depressive episode, severe, with psychosis	SMI_symptom
41	426921000006115	800.0	[X]Single episode of major depression and psychotic symptoms	SMI_symptom
42	789221000006116	6000.0	Hypomanic psychoses	SMI_symptom
43	294803011	2000.0	Single manic episode, mild	SMI_symptom
44	294804017	300.0	Single manic episode, moderate	SMI_symptom
45	294805016	200.0	Single manic episode, severe	SMI_symptom
46	425671000006115	80.0	[X]Schizophrenic reaction	SMI_symptom
47	368011000006110	60.0	[X]Brief schizophrenifrm psych	SMI_symptom
48	368001000006112	50.0	[X]Brief schizophreniform disorder	SMI_symptom
49	294898011	2000.0	Unspecified affective psychoses NOS	SMI_symptom
50	296118012	200.0	[X]Other manic episodes	SMI_symptom
51	396761000006112	8.0	[X]Manic stupor	SMI_symptom
52	294802018	2000.0	Single manic episode, unspecified	SMI_symptom
53	401864017	1000.0	[X]Manic episode, unspecified	SMI_symptom
54	294809010	500.0	Manic disorder, single episode NOS	SMI_symptom
55	1972351000006113	9.0	Mental & behav dis due to cannabinoids: psychotic disordr, predominantly manic symptoms	SMI_symptom
56	1971571000006118	6.0	Mental & behav dis due to use opioids: psychotic disorder, predominantly depressive symptoms	SMI_symptom
57	1973151000006119	3.0	Mental and behav dis due to vol solvents: resid & late-onset psychotic dis, personality or behaviour disorder	SMI_symptom
58	1972331000006118	3.0	Mental & behav dis due to cannabinoids: psychotic disordr, predominantly depressive symptoms	SMI_symptom
59	1975371000006110	3.0	Mental & behav dis due to use alcohol: psychotic disorder, predominantly depressive symptoms	SMI_symptom
60	1973751000006115	2.0	Mental & behav dis due to use cocaine: psychotic disorder, predominantly manic symptoms	SMI_symptom
61	1973061000006116	1.0	Mental & behav dis due to hallucinogens: psychotic disord, predominantly manic symptoms	SMI_symptom
62	1973041000006115	1.0	Mental & behav dis due to hallucinogens: psychotic disord, predominantly depressive symptoms	SMI_symptom
63	1972961000006114	1.0	Mental & behav dis due to seds/hypntcs: psychotic disordr, predominantly manic symptoms	SMI_symptom
64	1972941000006110	1.0	Mental & behav dis due to seds/hypntcs: psychotic disordr, predominantly depressive symptoms	SMI_symptom
65	1971601000006113	1.0	Mental & behav dis due to use opioids: psychotic disorder, predominantly manic symptoms	SMI_symptom
66	1973111000006115	1.0	Mental & behav dis due to vol solvents: psychotic disordr, predominantly depressive symptoms	SMI_symptom
67	1975701000006115	1.0	Mental and behav dis due to other stimulants inc caffeine: psychotic dis, predominantly manic symptoms	SMI_symptom
68	1975651000006114	1.0	Mental and behav dis due to other stimulants inc caffeine: psychotic dis, predominantly depressive symptoms	SMI_symptom
69	1975411000006111	1.0	Mental & behav dis due to use alcohol: psychotic disorder, predominantly manic symptoms	SMI_symptom
70	1974791000006111	1.0	Mental & behav dis due to use tobacco: psychotic disorder, predominantly manic symptoms	SMI_symptom
71	1974761000006115	1.0	Mental & behav dis due to use tobacco: psychotic disorder, predominantly depressive symptoms	SMI_symptom
72	1973121000006111	1.0	Mental & behav dis due to vol solvents: psychotic disordr, predominantly manic symptoms	SMI_symptom
73	1973731000006110	1.0	Mental & behav dis due to use cocaine: psychotic disorder, predominantly depressive symptoms	SMI_symptom
74	1755901000006112	2000.0	[X]Single major depressive episode, severe, with psychosis, psychosis in remission	SMI_symptom
75	8232571000006118	400.0	Single major depressive episode, severe, with psychosis, psychosis in remission	SMI_symptom
76	294938012	7.0	Active disintegrative psychoses	SMI_symptom
77	401770015	2000.0	Acute paranoid reaction	SMI_symptom
78	362971000006117	200.0	[X]Alcoholic paranoia	SMI_symptom
79	397201000006116	100.0	[X]Men & behav dis due alcoh: resid & late-onset psychot dis	SMI_symptom
80	362961000006112	30.0	[X]Alcoholic jealousy	SMI_symptom
81	523481000006114	20.0	Bouffee delirante	SMI_symptom
82	3527771000006116	1.0	Boufface daclirante	SMI_symptom
83	367961000006110	1.0	[X]Bouffee delirante	SMI_symptom
84	1452014	2000.0	Delusion of persecution	SMI_symptom
85	2502001000006113	5.0	Persecutory delusion	SMI_symptom
86	2501991000006111	2.0	Paranoid reaction	SMI_symptom
87	5614141000006110	10.0	Delusional dysmorphophobia	SMI_symptom
88	5128691000006114	1.0	Delusional hyperhidrosis	SMI_symptom
89	5247211000006115	7.0	Delusional mood	SMI_symptom
90	480834016	30000.0	Delusions	SMI_symptom
91	4569010	3000.0	Delusion	SMI_symptom
92	2531671000006114	40.0	Delusional thoughts	SMI_symptom
93	2531681000006112	20.0	Delusional ideas	SMI_symptom
94	5128651000006115	7.0	Delusions of infestation	SMI_symptom
95	5128641000006117	40.0	Delusions of parasitosis	SMI_symptom
96	294686015	500.0	Other drug psychoses	SMI_symptom
97	294692014	100.0	Other drug psychoses NOS	SMI_symptom
98	389651000006112	60.0	[X]Induced paranoid disorder	SMI_symptom
99	3504791000006115	30.0	Induced paranoid disorder	SMI_symptom
100	5023961000006111	7.0	Manic	SMI_symptom
101	401765010	40000.0	Manic disorder, single episode	SMI_symptom
102	753321000006116	700.0	Korsakoff's syndrome - non-alcoholic	SMI_symptom
103	1221500015	200.0	Non-alcoholic amnestic syndrome	SMI_symptom
104	2773831000006113	30.0	Korsakov's syndrome - non-alcoholic	SMI_symptom
105	294724012	30000.0	Non-organic psychoses	SMI_symptom
106	25461000006115	3000.0	Other nonorganic psychoses	SMI_symptom
107	294949018	500.0	Other specified non-organic psychoses	SMI_symptom
108	2549129012	5000.0	O/E - paranoid delusions	SMI_symptom
109	397161000006110	3.0	[X]Men & beh dis due opioids: resid & late-onset psychot dis	SMI_symptom
110	882221000006114	200.0	Other alcoholic psychoses	SMI_symptom
111	4941461000006118	90.0	Paranoid delusion	SMI_symptom
112	243361000006117	100000.0	Paranoid disorder	SMI_symptom
113	418231000006115	5000.0	[X]Paranoid state	SMI_symptom
114	882331000006116	2000.0	Paranoia	SMI_symptom
115	294910016	900.0	Other paranoid states	SMI_symptom
116	294912012	600.0	Other paranoid states NOS	SMI_symptom
117	4764391000006115	300.0	Paranoia	SMI_symptom
118	2548181016	30000.0	Paranoid ideation	SMI_symptom
119	215871000000115	30000.0	[X]Paranoia	SMI_symptom
120	376501000006110	900.0	[X]Delusional dysmorphophobia	SMI_symptom
121	394461000006110	30.0	[X]Involutional paranoid state	SMI_symptom
122	418181000006110	10.0	[X]Paranoia querulans	SMI_symptom
123	5933701000006116	6.0	Profile of mood states, bipolar	SMI_symptom
124	346896012	1000.0	Reactive psychoses	SMI_symptom
125	294926015	300.0	Other reactive psychoses	SMI_symptom
126	294929010	300.0	Other reactive psychoses NOS	SMI_symptom
127	294939016	4.0	Residual disintegrative psychoses	SMI_symptom
128	5248961000006113	20.0	Schizophrenic prodrome	SMI_symptom
129	4082931000006110	3.0	Schizophrenic reaction	SMI_symptom
130	424571000006115	5000.0	[X]Recurrent depress disorder cur epi severe with psyc symp	SMI_symptom
131	294908018	60.0	Folie a deux	SMI_symptom
132	294909014	30.0	Shared paranoid disorder	SMI_symptom
133	387071000006117	10.0	[X]Folie a deux	SMI_symptom
134	294904016	5000.0	Simple paranoid state	SMI_symptom
135	3036131000006117	3.0	Somatic delusion disorder	SMI_symptom
136	613791000006115	30000.0	Depressive psychoses	SMI_symptom
137	370981000006112	700.0	[X]Chronic hallucinatory psychosis	SMI_symptom
138	294919015	900.0	Acute hysterical psychosis	SMI_symptom
139	5568191000006118	100.0	Acute polymorphic psychotic disorder	SMI_symptom
