	MedCodeId	Observations	Term	Schizophrenia_diagnosis
0	1975261000006113	1.0	Post-schizophrenic depression, episodic remittent	Schizophrenia_diagnosis
1	1975301000006116	1.0	Post-schizophrenic depression, complete remission	Schizophrenia_diagnosis
2	1975281000006115	1.0	Post-schizophrenic depression, incomplete remission	Schizophrenia_diagnosis
3	294742019	3000.0	Catatonic schizophrenia	Schizophrenia_diagnosis
4	370451000006110	500.0	[X]Catatonic schizophrenia	Schizophrenia_diagnosis
5	294744018	100.0	Unspecified catatonic schizophrenia	Schizophrenia_diagnosis
6	294753013	90.0	Catatonic schizophrenia NOS	Schizophrenia_diagnosis
7	294787015	3.0	Coenesthopathic schizophrenia	Schizophrenia_diagnosis
8	294788013	2.0	Cenesthopathic schizophrenia	Schizophrenia_diagnosis
9	819351000006115	5000.0	Hebephrenic schizophrenia	Schizophrenia_diagnosis
10	388741000006110	900.0	[X]Hebephrenic schizophrenia	Schizophrenia_diagnosis
11	294741014	300.0	Hebephrenic schizophrenia NOS	Schizophrenia_diagnosis
12	294735019	80.0	Unspecified hebephrenic schizophrenia	Schizophrenia_diagnosis
13	378051000006119	50.0	[X]Disorganised schizophrenia	Schizophrenia_diagnosis
14	107878010	500000.0	Paranoid schizophrenia	Schizophrenia_diagnosis
15	418221000006118	20000.0	[X]Paranoid schizophrenia	Schizophrenia_diagnosis
16	294760019	7000.0	Paranoid schizophrenia NOS	Schizophrenia_diagnosis
17	294754019	2000.0	Unspecified paranoid schizophrenia	Schizophrenia_diagnosis
18	43595011	2000.0	Residual schizophrenia	Schizophrenia_diagnosis
19	169061000006112	2.0	Restzustand - schizophrenia	Schizophrenia_diagnosis
20	155141000006116	30000.0	Schizoaffective schizophrenia	Schizophrenia_diagnosis
21	155161000006117	4000.0	Schizo-affective schizophrenia NOS	Schizophrenia_diagnosis
22	78531000006116	3000.0	Unspecified schizo-affective schizophrenia	Schizophrenia_diagnosis
23	294790014	300000.0	Schizophrenia	Schizophrenia_diagnosis
24	425601000006114	60000.0	[X]Schizophrenia	Schizophrenia_diagnosis
25	294728010	30000.0	Unspecified schizophrenia	Schizophrenia_diagnosis
26	401764014	2000.0	Other schizophrenia	Schizophrenia_diagnosis
27	296040018	2000.0	[X]Schizophrenia, unspecified	Schizophrenia_diagnosis
28	401855010	500.0	[X]Other schizophrenia	Schizophrenia_diagnosis
29	294789017	300.0	Other schizophrenia NOS	Schizophrenia_diagnosis
30	370631000006117	5.0	[X]Cenesthopathic schizophrenia	Schizophrenia_diagnosis
31	294727017	30000.0	Simple schizophrenia	Schizophrenia_diagnosis
32	426881000006111	600.0	[X]Simple schizophrenia	Schizophrenia_diagnosis
33	294734015	600.0	Simple schizophrenia NOS	Schizophrenia_diagnosis
34	294726014	300.0	Schizophrenia simplex	Schizophrenia_diagnosis
35	371031000006115	1000.0	[X]Chronic undifferentiated schizophrenia	Schizophrenia_diagnosis
36	296031017	1000.0	Undifferentiated schizophrenia	Schizophrenia_diagnosis
37	1219653018	200.0	Atypical schizophrenia	Schizophrenia_diagnosis
38	366571000006114	30.0	[X]Atypical schizophrenia	Schizophrenia_diagnosis
39	1976961000006110	30.0	Schizophrenia, unspecified, other	Schizophrenia_diagnosis
40	1974601000006111	20.0	Hebephrenic schizophrenia, continuous	Schizophrenia_diagnosis
41	1976891000006110	20.0	Hebephrenic schizophrenia, other	Schizophrenia_diagnosis
42	1974391000006112	20.0	Paranoid schizophrenia, episodic with progressive deficit	Schizophrenia_diagnosis
43	1976881000006112	10.0	Paranoid schizophrenia, other	Schizophrenia_diagnosis
44	1974351000006118	4.0	Paranoid schizophrenia, continuous	Schizophrenia_diagnosis
45	1976901000006114	4.0	Catatonic schizophrenia, other	Schizophrenia_diagnosis
